X,Y,OBJECTID,taz_key,GEO_ID2,CoCFlag,Minority_7,LowInc_30,GlobalID,ShapeSTAre,ShapeSTLen,PopDensi,Land_Use,vertex_index,vertex_part,vertex_part_ring,vertex_part_index,distance,angle
551862.505766518,4183394.73490655,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,0,0,0,0,0.00000000000000,262.46758574200175
551791.533115099,4183382.19392829,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,1,0,0,1,0.00081432777100,305.06640204518789
551779.028276958,4183452.57107967,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,2,0,0,2,0.00146393829404,348.21806744626224
551776.466174408,4183467.97760619,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,3,0,0,3,0.00160573053160,348.77740127943622
551774.908799539,4183477.62084843,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,4,0,0,4,0.00169437612469,347.33941257372061
551772.185161546,4183490.6963072,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,5,0,0,5,0.00181613029646,346.20917438057359
551760.447778891,4183551.09239963,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,6,0,0,6,0.00237618856118,347.32381188085719
551753.964825596,4183587.99940987,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,7,0,0,7,0.00271667368773,348.32131423142914
551736.6670239,4183692.63129864,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,8,0,0,8,0.00367940760793,349.01804889242828
551726.115968636,4183760.46889349,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,9,0,0,9,0.00430211842437,349.09518978767858
551720.530177804,4183794.71867497,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,10,0,0,10,0.00461708262011,348.62257460301623
551714.586928681,4183829.85380666,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,11,0,0,11,0.00494067789066,348.68686972104729
551703.685362314,4183897.46734727,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,12,0,0,12,0.00556217707417,348.71325879550471
551694.54028,4183951.77737366,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,13,0,0,13,0.00606227661963,349.68481295194846
551688.535135525,4183996.78708842,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,14,0,0,14,0.00647344719054,349.79720117977473
551684.233781029,4184022.83428035,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,15,0,0,15,0.00671310088179,348.85887004707905
551682.492823361,4184033.69689458,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,16,0,0,16,0.00681292612621,59.40032676925958
551697.822981045,4184017.81583559,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,17,0,0,17,0.00703801424120,146.96503657850380
551699.723269584,4184009.61711594,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,18,0,0,18,0.00711493668260,142.59082143440634
551711.92992149,4184000.48462542,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,19,0,0,19,0.00727597476441,121.90454089576956
551722.370868518,4183992.11771823,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,20,0,0,20,0.00741633074163,123.80806732151855
551805.314438375,4183920.29731646,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,21,0,0,21,0.00855785409719,122.69629825324179
551814.601388063,4183913.47661873,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,22,0,0,22,0.00867979228335,123.49764208096683
551859.585395771,4183872.15218979,17,36,06075010700,1,1,1,{963DEBF1-FBAB-4FC7-A446-CEB03C58D176},286491.078125000000000,2626.684655545035639,126.00000000000,,23,0,0,23,0.00931121035794,125.92909217536895
